tripduration,starttime,startstationid,startstationlatitude,startstationlongitude,endstationid,usertype
346,2019-01-01 07:00:00,3288,40.778301,-73.9488134,3145,Subscriber
112,2019-01-01 07:00:19,302,40.72082834,-73.97793172,394,Subscriber
79,2019-01-01 07:02:05,3599,40.66314,-73.9605695,3596,Subscriber
201,2019-01-01 07:02:29,82,40.71117416,-74.00016545,351,Subscriber
254,2019-01-01 07:02:47,3699,40.76360468,-73.98917958,478,Subscriber
401,2019-01-01 07:03:48,302,40.72082834,-73.97793172,295,Subscriber
343,2019-01-01 07:04:14,3596,40.6642406,-73.9574686,3546,Subscriber
366,2019-01-01 07:04:23,261,40.69474881,-73.98362464,2000,Subscriber
451,2019-01-01 07:04:49,3418,40.6750207,-73.97111473,3306,Subscriber
371,2019-01-01 07:05:59,241,40.68981035,-73.97493121,120,Subscriber
834,2019-01-01 07:06:13,355,40.71602118,-73.99974372,411,Subscriber
423,2019-01-01 07:06:11,3646,40.76315482,-73.9398551,3130,Subscriber
260,2019-01-01 07:06:51,3408,40.6881529,-73.99520919,3386,Subscriber
388,2019-01-01 07:06:53,3656,40.72307749,-73.98583621,361,Subscriber
341,2019-01-01 07:07:14,3134,40.76312584,-73.96526895,3141,Subscriber
657,2019-01-01 07:07:29,379,40.749156,-73.9916,3244,Subscriber
473,2019-01-01 07:07:33,496,40.73726186,-73.99238967,462,Subscriber
562,2019-01-01 07:07:50,340,40.71269042,-73.98776323,236,Subscriber
998,2019-01-01 07:08:17,3711,40.72966729,-73.98067966,519,Subscriber
173,2019-01-01 07:08:17,394,40.72521311,-73.97768752,326,Subscriber
467,2019-01-01 07:08:32,2012,40.739445,-73.976806,164,Subscriber
110,2019-01-01 07:08:36,302,40.72082834,-73.97793172,394,Subscriber
318,2019-01-01 07:08:42,3296,40.78245418,-73.94891962,3290,Subscriber
226,2019-01-01 07:08:54,2003,40.73381219,-73.98054421,2012,Subscriber
250,2019-01-01 07:09:24,357,40.73261787,-73.99158043,3709,Subscriber
1801,2019-01-01 07:10:16,412,40.7158155,-73.99422366,412,Subscriber
570,2019-01-01 07:10:34,3397,40.6763947,-73.99869893,143,Subscriber
558,2019-01-01 07:10:44,237,40.73047309,-73.98672378,358,Subscriber
169,2019-01-01 07:10:59,414,40.70281858,-73.98765762,321,Subscriber
1046,2019-01-01 07:11:32,401,40.72019576,-73.98997825,3074,Customer
2022,2019-01-01 07:11:51,3086,40.715143,-73.944507,3676,Subscriber
208,2019-01-01 07:12:11,507,40.73912601,-73.97973776,536,Subscriber
447,2019-01-01 07:12:21,519,40.751873,-73.977706,492,Subscriber
304,2019-01-01 07:13:20,323,40.69236178,-73.98631746,144,Subscriber
630,2019-01-01 07:13:20,3141,40.76500525,-73.95818491,3351,Subscriber
400,2019-01-01 07:13:29,238,40.7361967,-74.00859207,223,Subscriber
1491,2019-01-01 07:14:00,3161,40.78018397,-73.97728533,528,Subscriber
397,2019-01-01 07:14:32,382,40.73492695,-73.99200509,405,Subscriber
1066,2019-01-01 07:14:43,502,40.714215,-73.981346,362,Subscriber
778,2019-01-01 07:15:13,325,40.73624527,-73.98473765,359,Subscriber
88,2019-01-01 07:15:13,3306,40.6662078,-73.98199886,3297,Subscriber
694,2019-01-01 07:15:37,295,40.71406667,-73.99293911,339,Subscriber
365,2019-01-01 07:15:40,474,40.7451677,-73.98683077,529,Subscriber
324,2019-01-01 07:16:09,3310,40.663779,-73.98396846,3423,Subscriber
2214,2019-01-01 07:16:27,3424,40.791976,-73.945993,3309,Subscriber
